Datum	Puncutaliteit
01-07-13	93.50%
02-07-13	95.20%
03-07-13	95.70%
04-07-13	94.70%
05-07-13	93.70%
06-07-13	92.40%
07-07-13	94.80%
08-07-13	92.80%
09-07-13	95.40%
10-07-13	88.90%
11-07-13	95.50%
12-07-13	95.50%
13-07-13	88.00%
14-07-13	95.60%
15-07-13	91.30%
16-07-13	93.80%
17-07-13	96.00%
18-07-13	96.80%
19-07-13	nodata
20-07-13	94.70%
21-07-13	92.50%
22-07-13	83.50%
23-07-13	88.60%
24-07-13	95.00%
25-07-13	93.30%
26-07-13	95.10%
27-07-13	94.40%
28-07-13	94.20%
29-07-13	96.20%
30-07-13	95.60%
31-07-13	94.30%
01-08-13	91.00%
02-08-13	86.30%
03-08-13	91.80%
04-08-13	94.50%
05-08-13	96.40%
06-08-13	95.00%
07-08-13	94.80%
08-08-13	94.40%
09-08-13	94.60%
10-08-13	96.00%
11-08-13	94.20%
12-08-13	95.10%
13-08-13	95.70%
14-08-13	97.20%
15-08-13	95.90%
16-08-13	94.30%
17-08-13	93.90%
18-08-13	96.60%
19-08-13	96.50%
20-08-13	94.80%
21-08-13	95.30%
22-08-13	96.60%
23-08-13	94.40%
24-08-13	96.70%
25-08-13	95.00%
26-08-13	95.90%
27-08-13	94.90%
28-08-13	96.40%
29-08-13	95.80%
30-08-13	91.50%
31-08-13	94.20%
01-09-13	93.80%
02-09-13	90.90%
03-09-13	94.60%
04-09-13	94.00%
05-09-13	88.40%
06-09-13	91.70%
07-09-13	93.60%
08-09-13	94.00%
09-09-13	91.90%
10-09-13	91.00%
11-09-13	92.80%
12-09-13	93.40%
13-09-13	nodata
14-09-13	94.30%
15-09-13	94.10%
16-09-13	nodata
17-09-13	93.80%
18-09-13	95.00%
19-09-13	94.20%
20-09-13	91.80%
21-09-13	93.80%
22-09-13	92.00%
23-09-13	95.20%
24-09-13	93.50%
25-09-13	93.50%
26-09-13	93.60%
27-09-13	92.40%
28-09-13	95.30%
29-09-13	95.60%
30-09-13	95.00%
01-10-13	94.00%
02-10-13	94.00%
03-10-13	95.00%
04-10-13	95.20%
05-10-13	94.70%
06-10-13	95.40%
07-10-13	91.90%
08-10-13	94.10%
09-10-13	94.90%
10-10-13	92.60%
11-10-13	90.40%
12-10-13	94.50%
13-10-13	95.40%
14-10-13	92.70%
15-10-13	93.20%
16-10-13	94.30%
17-10-13	92.80%
18-10-13	93.30%
19-10-13	93.70%
20-10-13	95.00%
21-10-13	86.20%
22-10-13	91.10%
23-10-13	90.00%
24-10-13	87.20%
25-10-13	85.00%
26-10-13	89.00%
27-10-13	83.40%
28-10-13	51.20%
29-10-13	78.10%
30-10-13	93.00%
31-10-13	89.00%
01-11-13	92.50%
02-11-13	92.10%
03-11-13	92.40%
04-11-13	87.20%
05-11-13	91.60%
06-11-13	89.00%
07-11-13	91.20%
08-11-13	87.50%
09-11-13	91.70%
10-11-13	94.00%
11-11-13	91.00%
12-11-13	89.90%
13-11-13	94.40%
14-11-13	91.10%
15-11-13	93.60%
16-11-13	95.40%
17-11-13	94.50%
18-11-13	92.20%
19-11-13	91.00%
20-11-13	89.20%
21-11-13	90.80%
22-11-13	92.00%
23-11-13	94.70%
24-11-13	93.40%
25-11-13	93.00%
26-11-13	89.40%
27-11-13	91.80%
28-11-13	89.90%
29-11-13	84.40%
30-11-13	90.90%
01-12-13	94.80%
02-12-13	92.20%
03-12-13	90.70%
04-12-13	91.40%
05-12-13	67.20%
06-12-13	79.00%
07-12-13	92.10%
08-12-13	nodata
09-12-13	91.90%
10-12-13	91.30%
11-12-13	90.00%
12-12-13	90.10%
13-12-13	88.30%
14-12-13	92.20%
15-12-13	96.60%
16-12-13	92.00%
17-12-13	89.20%
18-12-13	95.40%
19-12-13	89.00%
20-12-13	92.40%
21-12-13	96.00%
22-12-13	96.40%
23-12-13	94.00%
24-12-13	90.00%
25-12-13	97.20%
26-12-13	97.50%
27-12-13	95.40%
28-12-13	nodata
29-12-13	98.00%
30-12-13	96.00%
31-12-13	96.90%
01-01-14	96.60%
02-01-14	94.60%
03-01-14	nodata
04-01-14	nodata
05-01-14	nodata
06-01-14	95.40%
07-01-14	97.10%
08-01-14	96.00%
09-01-14	94.30%
10-01-14	94.40%
11-01-14	96.00%
12-01-14	96.30%
13-01-14	93.00%
14-01-14	95.70%
15-01-14	92.80%
16-01-14	91.10%
17-01-14	91.90%
18-01-14	96.90%
19-01-14	95.30%
20-01-14	97.00%
21-01-14	92.70%
22-01-14	92.30%
23-01-14	91.90%
24-01-14	93.10%
25-01-14	95.00%
26-01-14	95.40%
27-01-14	96.60%
28-01-14	95.90%
29-01-14	96.10%
30-01-14	96.40%
31-01-14	96.10%
01-02-14	93.70%
02-02-14	96.10%
03-02-14	96.40%
04-02-14	96.00%
05-02-14	95.90%
06-02-14	92.00%
07-02-14	95.40%
08-02-14	96.80%
09-02-14	96.70%
10-02-14	95.70%
11-02-14	95.10%
12-02-14	95.50%
13-02-14	nodata
14-02-14	94.90%
15-02-14	95.20%
16-02-14	96.60%
17-02-14	94.70%
18-02-14	95.60%
19-02-14	92.70%
20-02-14	89.40%
21-02-14	95.20%
22-02-14	96.50%
23-02-14	97.50%
24-02-14	95.70%
25-02-14	96.70%
26-02-14	96.10%
27-02-14	93.00%
28-02-14	96.60%
01-03-14	97.70%
02-03-14	93.50%
03-03-14	95.20%
04-03-14	93.20%
05-03-14	96.60%
06-03-14	93.90%
07-03-14	94.80%
08-03-14	95.50%
09-03-14	95.00%
10-03-14	97.00%
11-03-14	95.90%
12-03-14	97.00%
13-03-14	95.50%
14-03-14	96.00%
15-03-14	98.00%
16-03-14	97.20%
17-03-14	97.00%
18-03-14	97.30%
19-03-14	96.10%
20-03-14	93.10%
21-03-14	94.20%
22-03-14	97.70%
23-03-14	96.30%
24-03-14	93.10%
25-03-14	96.10%
26-03-14	95.10%
27-03-14	93.40%
28-03-14	90.90%
29-03-14	96.20%
30-03-14	95.90%
31-03-14	96.10%
01-04-14	91.60%
02-04-14	95.30%
03-04-14	95.00%
04-04-14	96.40%
05-04-14	97.30%
06-04-14	94.90%
07-04-14	92.70%
08-04-14	95.40%
09-04-14	94.70%
10-04-14	97.60%
11-04-14	96.10%
12-04-14	98.10%
13-04-14	95.00%
14-04-14	94.20%
15-04-14	93.80%
16-04-14	91.30%
17-04-14	92.10%
18-04-14	96.10%
19-04-14	97.50%
20-04-14	97.10%
21-04-14	97.10%
22-04-14	95.10%
23-04-14	95.60%
24-04-14	90.10%
25-04-14	91.70%
26-04-14	93.50%
27-04-14	93.20%
28-04-14	95.00%
29-04-14	94.70%
30-04-14	94.20%
01-05-14	95.20%
02-05-14	93.40%
03-05-14	95.30%
04-05-14	95.10%
05-05-14	94.30%
06-05-14	92.10%
07-05-14	94.60%
08-05-14	94.00%
09-05-14	94.20%
10-05-14	96.90%
11-05-14	95.60%
12-05-14	94.30%
13-05-14	97.50%
14-05-14	95.80%
15-05-14	94.90%
16-05-14	92.10%
17-05-14	95.60%
18-05-14	92.30%
19-05-14	92.60%
20-05-14	92.30%
21-05-14	96.20%
22-05-14	95.90%
23-05-14	95.80%
24-05-14	95.60%
25-05-14	92.90%
26-05-14	94.80%
27-05-14	nodata
28-05-14	93.90%
29-05-14	96.20%
30-05-14	96.90%
31-05-14	95.80%
01-06-14	94.50%
02-06-14	94.00%
03-06-14	96.20%
04-06-14	95.50%
05-06-14	96.60%
06-06-14	95.40%
07-06-14	94.80%
08-06-14	91.00%
09-06-14	93.60%
10-06-14	90.30%
11-06-14	95.30%
12-06-14	94.50%
13-06-14	94.70%
14-06-14	95.60%
15-06-14	95.80%
16-06-14	96.30%
17-06-14	97.00%
18-06-14	97.10%
19-06-14	93.90%
20-06-14	94.00%
21-06-14	97.00%
22-06-14	95.20%
23-06-14	95.50%
24-06-14	96.30%
25-06-14	94.60%
26-06-14	93.80%
27-06-14	92.50%
28-06-14	89.30%
29-06-14	95.10%
30-06-14	94.60%
01-07-14	95.50%
02-07-14	95.70%
03-07-14	96.30%
04-07-14	87.20%
05-07-14	96.70%
06-07-14	95.30%
07-07-14	95.80%
08-07-14	92.40%
09-07-14	94.30%
10-07-14	91.20%
11-07-14	90.10%
12-07-14	95.30%
13-07-14	95.80%
14-07-14	91.30%
15-07-14	96.50%
16-07-14	95.40%
17-07-14	95.80%
18-07-14	89.60%
19-07-14	86.50%
20-07-14	94.10%
21-07-14	96.10%
22-07-14	92.60%
23-07-14	91.30%
24-07-14	93.80%
25-07-14	95.00%
26-07-14	93.50%
27-07-14	96.20%
28-07-14	87.70%
29-07-14	94.30%
30-07-14	96.10%
31-07-14	94.00%
01-08-14	93.10%
02-08-14	93.30%
03-08-14	96.80%
04-08-14	95.00%
05-08-14	94.40%
06-08-14	95.70%
07-08-14	96.00%
08-08-14	96.20%
09-08-14	97.20%
10-08-14	92.90%
11-08-14	94.40%
12-08-14	95.70%
13-08-14	94.90%
14-08-14	95.00%
15-08-14	95.00%
16-08-14	96.30%
17-08-14	95.40%
18-08-14	nodata
19-08-14	94.10%
20-08-14	96.20%
21-08-14	94.20%
22-08-14	95.30%
23-08-14	93.80%
24-08-14	93.00%
25-08-14	91.00%
26-08-14	95.00%
27-08-14	94.30%
28-08-14	95.70%
29-08-14	95.00%
30-08-14	96.10%
31-08-14	96.10%
01-09-14	96.00%
02-09-14	96.30%
03-09-14	96.70%
04-09-14	96.90%
05-09-14	90.40%
06-09-14	95.60%
07-09-14	94.00%
08-09-14	92.90%
09-09-14	94.20%
10-09-14	94.00%
11-09-14	93.50%
12-09-14	96.00%
13-09-14	97.40%
14-09-14	96.00%
15-09-14	92.60%
16-09-14	91.00%
17-09-14	95.20%
18-09-14	nodata
19-09-14	95.70%
20-09-14	96.30%
21-09-14	93.40%
22-09-14	89.70%
23-09-14	91.60%
24-09-14	92.20%
25-09-14	95.90%
26-09-14	96.10%
27-09-14	95.90%
28-09-14	96.00%
29-09-14	94.20%
30-09-14	95.30%
01-10-14	94.80%
02-10-14	94.90%
03-10-14	94.30%
04-10-14	94.00%
05-10-14	92.90%
06-10-14	95.50%
07-10-14	92.10%
08-10-14	94.00%
09-10-14	95.20%
10-10-14	94.30%
11-10-14	94.50%
12-10-14	92.50%
13-10-14	92.00%
14-10-14	90.00%
15-10-14	96.20%
16-10-14	91.00%
17-10-14	92.10%
18-10-14	91.90%
19-10-14	93.40%
20-10-14	94.30%
21-10-14	88.70%
22-10-14	88.90%
23-10-14	93.30%
24-10-14	91.40%
25-10-14	92.00%
26-10-14	90.40%
27-10-14	93.10%
28-10-14	93.50%
29-10-14	91.10%
30-10-14	94.00%
31-10-14	94.50%
01-11-14	87.80%
02-11-14	93.00%
03-11-14	84.40%
04-11-14	92.00%
05-11-14	92.00%
06-11-14	89.00%
07-11-14	88.60%
08-11-14	94.60%
09-11-14	95.70%
10-11-14	92.00%
11-11-14	87.20%
12-11-14	93.20%
13-11-14	93.00%
14-11-14	93.00%
15-11-14	94.10%
16-11-14	92.70%
17-11-14	92.00%
18-11-14	94.40%
19-11-14	95.00%
20-11-14	95.50%
21-11-14	nodata
22-11-14	96.50%
23-11-14	94.80%
24-11-14	93.60%
25-11-14	91.00%
26-11-14	95.50%
27-11-14	91.60%
28-11-14	94.60%
29-11-14	95.10%
30-11-14	94.30%
01-12-14	88.60%
02-12-14	87.10%
03-12-14	93.30%
04-12-14	92.90%
05-12-14	96.60%
06-12-14	95.20%
07-12-14	93.00%
08-12-14	92.40%
09-12-14	92.90%
10-12-14	90.30%
11-12-14	92.60%
12-12-14	91.80%
13-12-14	93.60%
14-12-14	95.10%
15-12-14	93.60%
16-12-14	92.10%
17-12-14	93.90%
18-12-14	nodata
19-12-14	89.80%
20-12-14	95.60%
21-12-14	95.20%
22-12-14	92.50%
23-12-14	93.30%
24-12-14	94.70%
25-12-14	96.40%
26-12-14	96.00%
27-12-14	80.80%
28-12-14	93.10%
29-12-14	95.90%
30-12-14	96.50%
31-12-14	96.80%
01-01-15	96.10%
02-01-15	97.70%
03-01-15	97.30%
04-01-15	96.80%
05-01-15	94.60%
06-01-15	95.20%
07-01-15	96.00%
08-01-15	94.50%
09-01-15	94.00%
10-01-15	93.00%
11-01-15	95.30%
12-01-15	93.00%
13-01-15	90.50%
14-01-15	95.20%
15-01-15	93.00%
16-01-15	95.10%
17-01-15	96.10%
18-01-15	96.10%
19-01-15	94.00%
20-01-15	94.80%
21-01-15	96.00%
22-01-15	88.80%
23-01-15	95.60%
24-01-15	73.00%
25-01-15	94.50%
26-01-15	95.50%
27-01-15	94.50%
28-01-15	92.70%
29-01-15	81.40%
30-01-15	89.60%
31-01-15	94.10%
01-02-15	95.20%
02-02-15	82.30%
03-02-15	92.00%
04-02-15	92.00%
05-02-15	95.40%
06-02-15	93.90%
07-02-15	95.00%
08-02-15	96.70%
09-02-15	94.30%
10-02-15	95.80%
11-02-15	96.00%
12-02-15	96.20%
13-02-15	92.50%
14-02-15	97.70%
15-02-15	96.50%
16-02-15	94.70%
17-02-15	95.80%
18-02-15	94.00%
19-02-15	96.60%
20-02-15	94.60%
21-02-15	94.60%
22-02-15	96.20%
23-02-15	93.30%
24-02-15	95.00%
25-02-15	96.00%
26-02-15	95.70%
27-02-15	94.00%
28-02-15	94.50%
01-03-15	96.30%
02-03-15	85.40%
03-03-15	94.00%
04-03-15	95.50%
05-03-15	93.40%
06-03-15	92.40%
07-03-15	91.10%
08-03-15	93.90%
09-03-15	94.40%
10-03-15	94.30%
11-03-15	93.30%
12-03-15	90.30%
13-03-15	95.40%
14-03-15	97.10%
15-03-15	96.00%
16-03-15	96.10%
17-03-15	95.60%
18-03-15	96.10%
19-03-15	95.90%
20-03-15	94.30%
21-03-15	95.00%
22-03-15	93.00%
23-03-15	94.50%
24-03-15	95.30%
25-03-15	95.30%
26-03-15	94.90%
27-03-15	77.20%
28-03-15	nodata
29-03-15	95.60%
30-03-15	96.40%
31-03-15	85.40%
01-04-15	94.00%
02-04-15	96.20%
03-04-15	96.30%
04-04-15	97.30%
05-04-15	96.10%
06-04-15	96.40%
07-04-15	93.80%
08-04-15	92.70%
09-04-15	93.20%
10-04-15	93.90%
11-04-15	97.00%
12-04-15	95.60%
13-04-15	92.80%
14-04-15	95.00%
15-04-15	95.00%
16-04-15	94.00%
17-04-15	96.20%
18-04-15	94.20%
19-04-15	94.40%
20-04-15	94.40%
21-04-15	90.60%
22-04-15	93.60%
23-04-15	92.70%
24-04-15	96.00%
25-04-15	95.50%
26-04-15	95.10%
27-04-15	93.70%
28-04-15	91.90%
29-04-15	96.40%
30-04-15	96.00%
01-05-15	95.40%
02-05-15	93.50%
03-05-15	95.00%
04-05-15	94.70%
05-05-15	95.60%
06-05-15	95.00%
07-05-15	95.50%
08-05-15	94.60%
09-05-15	93.00%
10-05-15	94.50%
11-05-15	92.30%
12-05-15	93.50%
13-05-15	95.90%
14-05-15	95.70%
15-05-15	95.80%
16-05-15	95.20%
17-05-15	95.60%
18-05-15	95.60%
19-05-15	94.90%
20-05-15	95.80%
21-05-15	87.90%
22-05-15	90.20%
23-05-15	94.00%
24-05-15	94.10%
25-05-15	94.40%
26-05-15	96.70%
27-05-15	93.00%
28-05-15	95.10%
29-05-15	95.10%
30-05-15	95.90%
31-05-15	95.70%
01-06-15	94.10%
02-06-15	94.30%
03-06-15	94.20%
04-06-15	94.50%
05-06-15	84.20%
06-06-15	90.90%
07-06-15	96.00%
08-06-15	93.80%
09-06-15	96.20%
10-06-15	92.90%
11-06-15	92.40%
12-06-15	93.60%
13-06-15	95.70%
14-06-15	93.00%
15-06-15	93.60%
16-06-15	94.10%
17-06-15	94.50%
18-06-15	96.10%
19-06-15	96.90%
20-06-15	96.60%
21-06-15	97.10%
22-06-15	93.60%
23-06-15	94.80%
24-06-15	94.00%
25-06-15	94.80%
26-06-15	94.40%
27-06-15	94.00%
28-06-15	95.90%
29-06-15	93.00%
30-06-15	92.40%
01-07-15	88.20%
02-07-15	84.90%
03-07-15	82.10%
04-07-15	91.00%
05-07-15	95.00%
06-07-15	94.90%
07-07-15	95.60%
08-07-15	96.80%
09-07-15	94.90%
10-07-15	93.20%
11-07-15	95.50%
12-07-15	94.50%
13-07-15	91.50%
14-07-15	95.70%
15-07-15	95.90%
16-07-15	95.20%
17-07-15	93.20%
18-07-15	97.60%
19-07-15	94.30%
20-07-15	96.40%
21-07-15	96.50%
22-07-15	95.00%
23-07-15	96.40%
24-07-15	93.30%
25-07-15	79.00%
26-07-15	87.10%
27-07-15	93.70%
28-07-15	95.50%
29-07-15	95.70%
30-07-15	95.00%
31-07-15	95.50%
01-08-15	96.20%
02-08-15	96.60%
03-08-15	95.10%
04-08-15	94.90%
05-08-15	95.50%
06-08-15	93.50%
07-08-15	95.00%
08-08-15	94.50%
09-08-15	96.80%
10-08-15	94.20%
11-08-15	93.10%
12-08-15	96.30%
13-08-15	93.20%
14-08-15	92.50%
15-08-15	89.00%
16-08-15	93.90%
17-08-15	94.70%
18-08-15	95.50%
19-08-15	92.00%
20-08-15	94.80%
21-08-15	92.70%
22-08-15	94.20%
23-08-15	94.90%
24-08-15	94.80%
25-08-15	93.90%
26-08-15	94.10%
27-08-15	95.70%
28-08-15	96.40%
29-08-15	94.50%
30-08-15	95.40%
31-08-15	90.00%
01-09-15	93.60%
02-09-15	93.00%
03-09-15	95.20%
04-09-15	93.80%
05-09-15	96.10%
06-09-15	94.90%
07-09-15	96.30%
08-09-15	93.80%
09-09-15	93.90%
10-09-15	93.30%
11-09-15	84.60%
12-09-15	93.20%
13-09-15	95.70%
14-09-15	93.00%
15-09-15	94.80%
16-09-15	95.10%
17-09-15	96.00%
18-09-15	90.00%
19-09-15	95.40%
20-09-15	94.50%
21-09-15	95.50%
22-09-15	94.50%
23-09-15	94.80%
24-09-15	92.40%
25-09-15	95.30%
26-09-15	95.30%
27-09-15	92.10%
28-09-15	92.70%
29-09-15	93.80%
30-09-15	93.00%
01-10-15	95.90%
02-10-15	93.00%
03-10-15	94.90%
04-10-15	95.00%
05-10-15	93.00%
06-10-15	95.20%
07-10-15	95.30%
08-10-15	92.00%
09-10-15	94.60%
10-10-15	96.10%
11-10-15	94.90%
12-10-15	86.50%
13-10-15	92.30%
14-10-15	93.90%
15-10-15	95.10%
16-10-15	94.80%
17-10-15	93.20%
18-10-15	94.10%
19-10-15	94.20%
20-10-15	94.30%
21-10-15	95.10%
22-10-15	95.10%
23-10-15	93.70%
24-10-15	94.20%
25-10-15	92.40%
26-10-15	93.40%
27-10-15	93.90%
28-10-15	91.00%
29-10-15	93.40%
30-10-15	92.40%
31-10-15	92.70%
01-11-15	93.00%
02-11-15	91.70%
03-11-15	92.00%
04-11-15	91.90%
05-11-15	90.00%
06-11-15	86.30%
07-11-15	93.50%
08-11-15	93.10%
09-11-15	85.00%
10-11-15	86.80%
11-11-15	93.60%
12-11-15	94.00%
13-11-15	83.90%
14-11-15	92.90%
15-11-15	90.50%
16-11-15	89.90%
17-11-15	91.50%
18-11-15	87.60%
19-11-15	92.40%
20-11-15	93.00%
21-11-15	90.50%
22-11-15	94.80%
23-11-15	90.00%
24-11-15	86.20%
25-11-15	91.30%
26-11-15	91.00%
27-11-15	91.40%
28-11-15	94.60%
29-11-15	92.70%
30-11-15	91.20%
01-12-15	94.20%
02-12-15	95.00%
03-12-15	94.30%
04-12-15	93.10%
05-12-15	96.10%
06-12-15	94.40%
07-12-15	94.20%
08-12-15	91.80%
09-12-15	92.90%
10-12-15	91.20%
11-12-15	90.20%
12-12-15	95.40%
13-12-15	96.00%
14-12-15	93.20%
15-12-15	94.10%
16-12-15	92.60%
17-12-15	92.00%
18-12-15	91.50%
19-12-15	93.50%
20-12-15	95.30%
21-12-15	95.40%
22-12-15	96.20%
23-12-15	97.10%
24-12-15	94.70%
25-12-15	94.80%
26-12-15	97.50%
27-12-15	98.60%
28-12-15	97.50%
29-12-15	96.00%
30-12-15	95.30%
31-12-15	97.00%
01-01-16	96.70%
02-01-16	98.20%
03-01-16	95.10%
04-01-16	93.00%
05-01-16	90.50%
06-01-16	nodata
07-01-16	94.50%
08-01-16	93.80%
09-01-16	96.00%
10-01-16	96.80%
11-01-16	95.40%
12-01-16	94.80%
